Year,OilProductionInTWh,BarrelsDayEquiv
1914,0,0
1914,1.163,684117.6423
1914,103.8559,61091705.45
1914,136.5362,80315411.2
1914,32.6803,19223705.75
1914,32.65704,19210023.39
1914,0,0
1914,0,0
1914,1.2793,752529.4065
1914,0,0
1914,0,0
1914,0,0
1914,429.48425,252637792.3
1914,0.04652,27364.70569
1914,11.47881,6752241.129
1914,18.24747,10733805.81
1914,4.44266,2613329.393
1914,0,0
1914,0,0
1914,0.06978,41047.05854
1914,4.31473,2538076.453
1914,0,0
1914,0,0
1914,0,0
1914,35.331944,20783496.33
1914,0.53498,314694.1154
1914,32.85475,19326323.39
1914,4.44266,2613329.393
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,446.3943,262584880.5
1914,445.30106,261941798.2
1914,0,0
1914,461.22253,271307368.7
1914,4.46592,2627011.746
1914,0,0
1914,0,0
1914,0,0
1914,4.44266,2613329.393
1914,2.98891,1758182.341
1914,0,0
1914,10.19951,5999711.723
1914,0,0
1914,21.0503,12382529.33
1914,0,0
1914,3.47737,2045511.75
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,0,0
1914,1.09322,643070.5837
1914,0,0
1914,0,0
1914,103.8559,61091705.45
1914,0,0
1914,0,0
1914,412.10904,242417080.7
1914,161.75005,95147087.57
1914,0.02326,13682.35285
1914,626.58954,368582079.8
1914,0,0
1915,0.3489,205235.2927
1915,0.3489,205235.2927
1915,0,0
1915,0,0
1915,0,0
1915,0.86062,506247.0553
1915,42.065712,24744536.3
1915,36.7508,21618117.5
1915,0,0
1915,0.01163,6841.176423
1915,0,0
1915,0,0
1915,0,0
1915,0,0
1915,0,0
1915,0,0
1915,0,0
1915,0,0
